FHIR_RESOURCE, FHIR_ELEMENT_NAME, FHIR_PATH, CAMPFHIR_COLUMN
Account, Coverage, Account.Coverage.Coverage, Account_Cvg_Cvg
Account, Priority, Account.Coverage.Priority, Account_Cvg_Priority
Account, Description, Account.Description, Account_Dscrptn
Account, OnHold, Account.Guarantor.OnHold, Account_Guarantor_OnHold
Account, Party, Account.Guarantor.Party, Account_Guarantor_Party
Account, End, Account.Guarantor.Period.End, Account_Guarantor_Prd_End
Account, Start, Account.Guarantor.Period.Start, Account_Guarantor_Prd_Strt
Account, Assigner, Account.Identifier.Assigner, Account_Id_Assigner
Account, End, Account.Identifier.Period.End, Account_Id_Prd_End
Account, Start, Account.Identifier.Period.Start, Account_Id_Prd_Strt
Account, System, Account.Identifier.System, Account_Id_Sys
Account, Code, Account.Identifier.Type.Coding.Code, Account_Id_Typ_Cdg_Cd
Account, Display, Account.Identifier.Type.Coding.Display, Account_Id_Typ_Cdg_Dsply
Account, System, Account.Identifier.Type.Coding.System, Account_Id_Typ_Cdg_Sys
Account, UserSelected, Account.Identifier.Type.Coding.UserSelected, Account_Id_Typ_Cdg_UsrSltd
Account, Version, Account.Identifier.Type.Coding.Version, Account_Id_Typ_Cdg_Vrsn
Account, Text, Account.Identifier.Type.Text, Account_Id_Typ_Txt
Account, Use, Account.Identifier.Use, Account_Id_Use
Account, Value, Account.Identifier.Value, Account_Id_Vl
Account, Name, Account.Name, Account_Nm
Account, Owner, Account.Owner, Account_Owner
Account, PartOf, Account.PartOf, Account_PartOf
Account, End, Account.ServicePeriod.End, Account_SrvPrd_End
Account, Start, Account.ServicePeriod.Start, Account_SrvPrd_Strt
Account, Status, Account.Status, Account_Sts
Account, Subject, Account.Subject, Account_Sbjct
Account, Code, Account.Type.Coding.Code, Account_Typ_Cdg_Cd
Account, Display, Account.Type.Coding.Display, Account_Typ_Cdg_Dsply
Account, System, Account.Type.Coding.System, Account_Typ_Cdg_Sys
Account, UserSelected, Account.Type.Coding.UserSelected, Account_Typ_Cdg_UsrSltd
Account, Version, Account.Type.Coding.Version, Account_Typ_Cdg_Vrsn
Account, Text, Account.Type.Text, Account_Typ_Txt
ActivityDefinition, ApprovalDate, ActivityDefinition.ApprovalDate, ActvtyDfn_ApprovalDt
ActivityDefinition, Name, ActivityDefinition.Author.Name, ActvtyDfn_Athr_Nm
