TABLE_CD,COLUMN_CD,LOCAL_IN_CD,FHIR_OUT_CD,FHIR_OUT_CHAR,COMMENTS,FHIR_OUT_COLUMN,FHIR_SYSTEM
OBSERVATION_FACT,CONCEPT_CD,DEM|HISP:Y,2135-2,Hispanic or Latino,(null),PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
OBSERVATION_FACT,CONCEPT_CD,LOINC:72166-2,72166-2,Tobacco smoking status,Tobacco smoking status FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,DEM|HISP:NI,(null),(null),No Mapping for No Info,PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
OBSERVATION_FACT,CONCEPT_CD,DEM|HISP:N,2186-5,Not Hispanic or Latino,(null),PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
OBSERVATION_FACT,CONCEPT_CD,LOINC:72166-2,social-history,Social History,Tobacco smoking status FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,CONCEPT_CD,LOINC:36156-5,36156-5,Body Mass Index,Body Mass Index FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,LOINC:36156-5,vital-signs,Vital Signs,Body Mass Index FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,CONCEPT_CD,LOINC:8460-6,8460-6,Systolic blood pressure,Systolic blood pressure FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,LOINC:8460-6,vital-signs,Vital Signs,Systolic blood pressure FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,CONCEPT_CD,LOINC:8462-4,8462-4,Diastolic Blood Pressure,Diastolic Blood Pressure FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,ICD10:Z72.0,77176002,Smoker (finding),ICD10:Z72.0,OBS_CODE_CODING_CODE,http://hl7.org/fhir/icd.html
OBSERVATION_FACT,CONCEPT_CD,LOINC:8302-2,vital-signs,Vital Signs,Body Height FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,CONCEPT_CD,LOINC:8302-2,8302-2,Body Height,Body Height FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,LOINC:29463-7,vital-signs,Vital Signs,Body Weight FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,CONCEPT_CD,LOINC:29463-7,29463-7,Body weight,Body Weight FHIR Code Mapping,OBS_CODE_CODING_CODE,https://loinc.org
OBSERVATION_FACT,CONCEPT_CD,LOINC:8462-4,vital-signs,Vital Signs,Diastolic Blood Pressure FHIR Catery Mapping,OBS_CATERY_CODE,http://hl7.org/fhir/ValueSet/observation-catery
OBSERVATION_FACT,MODIFIER_CD,ACT|MED_TYPE:A,(null),(null),No Mappings for Medicine Administration,OBS_MED_DISP_STS,http://hl7.org/fhir/DSTU2/valueset-medication-dispense-status.html
OBSERVATION_FACT,MODIFIER_CD,ACT|MED_TYPE:D,completed,Completed,Imperfect Match,OBS_MED_DISP_STS,http://hl7.org/fhir/DSTU2/valueset-medication-dispense-status.html
OBSERVATION_FACT,MODIFIER_CD,ACT|MED_TYPE:O,in-progress,In Progress,Imperfect Match,OBS_MED_DISP_STS,http://hl7.org/fhir/DSTU2/valueset-medication-dispense-status.html
OBSERVATION_FACT,MODIFIER_CD,@,(null),(null),No priority information provided,ENC_DIAG_RANK,https://www.hl7.org/fhir/encounter-definitions.html#Encounter.diagnosis.rank
OBSERVATION_FACT,MODIFIER_CD,ACT|DIAG_PRIORITY:NI,(null),(null),No mapping for unknown,ENC_DIAG_RANK,https://www.hl7.org/fhir/encounter-definitions.html#Encounter.diagnosis.rank
OBSERVATION_FACT,MODIFIER_CD,ACT|DIAG_PRIORITY:S,2,(null),Imperfect Match,ENC_DIAG_RANK,https://www.hl7.org/fhir/encounter-definitions.html#Encounter.diagnosis.rank
OBSERVATION_FACT,MODIFIER_CD,ACT|DIAG_PRIORITY:P,1,(null),Imperfect Match,ENC_DIAG_RANK,https://www.hl7.org/fhir/encounter-definitions.html#Encounter.diagnosis.rank
OBSERVATION_FACT,TVAL_CHAR,LA15920-4,8517006,Former smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,E,=,Equal,(null),OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
OBSERVATION_FACT,TVAL_CHAR,GE,>=,Greater than or Equal,(null),OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
OBSERVATION_FACT,TVAL_CHAR,G,>,Greater than,(null),OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
OBSERVATION_FACT,TVAL_CHAR,LE,<=,Less than or equal,(null),OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
